base_id	name	category_id	subgroup	confidence	source	observed_version	status
0101	レイピア	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0102	ミスリルレイピア	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0103	ロイヤルレイピア	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0104	カイザーサーベル	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0105	エンシェントサーベル	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0106	ドラゴンサーベル	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0107	アダマントサーベル	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0108	神魔サーベル	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0109	カイザーナックル	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0110	ドラゴンナックル	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0501	騎士の突剣	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0502	フェンシングサーベル	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0503	急所突きの小剣	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0504	魔獣の爪	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0505	マジックレイピア	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0506	脇差し	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0507	小太刀	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0508	妖獣の爪	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0509	舞姫の小剣	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0510	含み針	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0511	手裏剣	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0513	風魔手裏剣	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0514	エストック	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0515	ギガントナックル	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0516	特注のサーベル	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0518	ジャックナイフ	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0519	つらぬきの短刀	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0520	クリスナイフ	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0521	スクリュードライバー	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0522	クイックレイピア	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0523	王家の小剣	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0524	白銀に輝く神剣	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0525	熊の爪	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0526	バーバリアンナックル	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0527	マスターナックル	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0528	チェイサーナイフ	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0529	黄泉の戦輪	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0531	金剛円月輪	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0533	悪のサーベル	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0534	恐竜の爪	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0535	トリケラトプスの角	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0537	点牙突剣	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0538	魔王の爪	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0539	アークウィップ	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0540	九尾の鞭	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0541	虹色小剣	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0542	クイーンビュート	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0543	神罰のムチ	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0544	断罪のサーベル	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0546	ライトセイバー	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0547	次元ナイフ	1	Wep1	confirmed	ipa-v5.10-static	5.10	selectable
0113	ロングソード	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
0114	ミスリルソード	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
0115	ロイヤルソード	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
0116	カイザーソード	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
0117	エンシェントソード	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
0118	ドラゴンソード	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
0119	アダマントソード	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
0120	神魔ソード	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1001	アサシンダガー	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1002	モンスターキラー	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1003	アンデッドキラー	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1004	ドラゴンキラー	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1005	ゴッドキラー	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1006	ナイトソード	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1007	ニンジャソード	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1008	マスターソード	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1009	魔剣	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1010	ファルシオン	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1011	フランベルジュ	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1012	バスタードソード	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1013	クレイモア	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1014	グレートソード	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1015	草薙の剣	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1016	パラディンソード	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1017	竜牙の長剣	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1018	特注の大剣	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1019	捨て身の剣	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1020	盲人の呪剣	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1021	狂戦士の魔剣	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1022	仁王の剣	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1023	七光りの剣	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
1024	不死者の剣	2	Wep2	confirmed	ipa-v5.10-static	5.10	selectable
